Tiempo (s),Aceleracion (g)
0.0,-0.03625492860453019
0.001,0.13126520591856827
0.002,0.23536845882912089
0.003,0.2894717353509059
0.004,0.23950912007458613
0.005,0.3357889075427199
0.006,0.2773665813893801
0.007,0.12588827107977427
0.008,0.08446550206613182
0.009000000000000001,-0.08194902693218725
0.01,-0.16867421280883582
0.011,-0.2351582812543841
0.012,-0.23900154884018374
0.013000000000000001,-0.2439784594955573
0.014,-0.12293612901034813
0.015,-0.16533171701788232
0.016,-0.06402369124060389
0.017,0.037523580318971024
0.018000000000000002,-0.08346658159556689
0.019,-0.0014613145021677466
0.02,-0.0004017921698542783
0.021,-0.05313323354112739
0.022,0.04899760544554739
0.023,-0.052374095947284566
0.024,0.0011430673538263408
0.025,0.0618642847151177
0.026000000000000002,0.19291132503181704
0.027,0.19833718963730199
0.028,0.22351905119401014
0.029,0.16440409994204702
0.03,0.17869009716539874
0.031,0.05811848617477249
0.032,0.02734817425996216
0.033,-0.1809639811472503
0.034,-0.2686034818449657
0.035,-0.36880570302306553
0.036000000000000004,-0.2870879162904109
0.037,-0.3876094218857853
0.038,-0.19531061543597777
0.039,-0.14219257840516214
0.04,-0.023877397221158503
0.041,0.03646288170606668
0.042,0.1498549509429702
0.043000000000000003,0.2673324576327204
0.044,0.30298735200291443
0.045,0.36261638438977783
0.046,0.20403276966327286
0.047,-0.030147765908671326
0.048,0.012088986505419275
0.049,-0.11045818865926091
0.05,-0.035931363743685205
0.051000000000000004,-0.16877217536136874
0.052000000000000005,-0.16943207424420262
0.053,-0.20085376229172996
0.054,-0.20499387638559421
0.055,-0.22466835600114582
0.056,-0.0398351928344072
0.057,0.01569387044481705
0.058,-0.05154897823384934
0.059000000000000004,-0.02905581048368462
0.06,0.015662103482056225
0.061,-0.04954765625564697
0.062,0.03274046299001563
0.063,0.04336759166286958
0.064,0.10064998786052898
0.065,0.07205104013913936
0.066,0.1961957335886589
0.067,0.17502309899197876
0.068,0.1593082256784981
0.069,0.22206902970284947
0.07,0.11741527078020318
0.07100000000000001,0.029104070636235504
0.07200000000000001,-0.08948183972903394
0.073,-0.16268653699842195
0.074,-0.19137515035405103
0.075,-0.30053198132733155
0.076,-0.34008774766641714
0.077,-0.2648312894497929
0.078,-0.23896110962187733
0.079,-0.0882466315292217
0.08,0.021476687670035906
0.081,0.14259842319936666
0.082,0.19827054503428512
0.083,0.2769811953721422
0.084,0.3958629625960626
0.085,0.34677532597576205
0.08600000000000001,0.2159334926246346
0.08700000000000001,0.1269896830164326
0.088,0.051541302529835825
0.089,-0.05720928763996295
0.09,-0.13318633264653634
0.091,-0.15013099483371764
0.092,-0.2555866775325869
0.093,-0.10973171566100871
0.094,-0.12836274909287018
0.095,-0.04872875053170089
0.096,-0.06055075451342859
0.097,-0.09517894458169654
0.098,-0.0024522350883458078
0.099,-0.03194671500967354
0.1,0.022606680688193312
0.101,0.0021817833691030204
0.10200000000000001,-0.039157060338656305
0.10300000000000001,-0.030796884287470266
0.10400000000000001,0.04484126391958046
0.105,0.14893877823787588
0.106,0.19302756138898203
0.107,0.17488000644387472
0.108,0.17007221337765216
0.109,0.1709910803334913
0.11,0.20053146455780765
0.111,0.04352051064008497
0.112,-0.13442892935698747
0.113,-0.07012236732236235
0.114,-0.2001562024062335
0.115,-0.2520842342885633
0.116,-0.2662216525538521
0.117,-0.28509350296605235
0.11800000000000001,-0.16704602417335246
0.11900000000000001,-0.03583379221741967
0.12,0.03471694405392179
0.121,0.15374019101393785
0.122,0.1808041770585255
0.123,0.3134446946029678
0.124,0.27433700761588764
0.125,0.2902531033353958
0.126,0.2252409716065117
0.127,0.14984961399491079
0.128,0.03238287864759461
0.129,-0.06819357124679705
0.13,-0.16584252983178058
0.131,-0.19427399642204954
0.132,-0.23627177774463953
0.133,-0.23599087510418656
0.134,-0.11636989425792602
0.135,-0.047995403034676004
0.136,-0.01394431360232435
0.137,0.020658434681294656
0.138,-0.0195161974945582
0.139,-0.09035544101811951
0.14,-0.1474182729068946
0.14100000000000001,0.008555332906661705
0.14200000000000002,-0.038141111772577806
0.14300000000000002,-0.04145470412613637
0.14400000000000002,0.07247143046417481
0.145,-0.033268921590875536
0.146,0.09312706799498713
0.147,0.2558382071487348
0.148,0.16772099824170442
0.149,0.1530361040834909
0.15,0.08768040925509794
0.151,0.08757799453716528
0.152,0.030287812050838442
0.153,-0.12957833065751984
0.154,-0.3206665439226969
0.155,-0.2829367961790838
0.156,-0.354545992820004
0.157,-0.2807148062998061
0.158,-0.27294384982344155
0.159,-0.18804771853503202
