Tiempo (s),Aceleracion (g)
0.0,-0.0879380384098168
0.001,0.08509039991705011
0.002,0.23003210035393293
0.003,0.28610484644768164
0.004,0.2810708586279546
0.005,0.33050678882068635
0.006,0.2983697513406652
0.007,0.3157397941503974
0.008,0.360782380980126
0.009000000000000001,0.34315854628927195
0.01,0.29276054782596167
0.011,0.2790742982672354
0.012,0.2595836435771022
0.013000000000000001,0.16451783203006054
0.014,0.19167890319635386
0.015,0.0840388135947581
0.016,0.07664231571525533
0.017,0.03405841136039721
0.018000000000000002,-0.033772318716833886
0.019,-0.023229738122791055
0.02,-0.02965802423581879
0.021,-0.020779840747700725
0.022,-0.028780115066993288
0.023,-0.07590292023148873
0.024,-0.10627028375345399
0.025,-0.169696107791342
0.026000000000000002,-0.24185009234561838
0.027,-0.13825251330584798
0.028,-0.2150013257843556
0.029,-0.26118157782485646
0.03,-0.3664633967472338
0.031,-0.347378660313757
0.032,-0.31199623973383245
0.033,-0.39528661506587115
0.034,-0.39937373213581545
0.035,-0.28629278564191085
0.036000000000000004,-0.2982820446185858
0.037,-0.19872661103860187
0.038,-0.15240494778028657
0.039,-0.20960868683089712
0.04,-0.050989743752062236
0.041,0.12389125652873448
0.042,0.08359084655191723
0.043000000000000003,0.2077896082196545
0.044,0.3373861316194625
0.045,0.3766762192577283
0.046,0.3716276464323618
0.047,0.3049733783048221
0.048,0.34366093948339577
0.049,0.32018749730102725
0.05,0.26929219479518696
0.051000000000000004,0.38507528074555875
0.052000000000000005,0.17441500268229268
0.053,0.20239193548927897
0.054,0.15481827025800957
0.055,0.07510427230092748
0.056,0.1260368208254334
0.057,0.054742139842437004
0.058,0.09292452821595983
0.059000000000000004,0.05176775745735575
0.06,-0.017335265189624652
0.061,-0.08261614961926333
0.062,-0.07287838528669044
0.063,-0.03720995913526032
0.064,-0.004934097890733138
0.065,-0.11704272171729563
0.066,-0.19943396951215756
0.067,-0.15633775515148923
0.068,-0.24469718249517436
0.069,-0.23374931623827538
0.07,-0.2181574010233664
0.07100000000000001,-0.365854766984262
0.07200000000000001,-0.33384841059855014
0.073,-0.37590825929911914
0.074,-0.30254424399385493
0.075,-0.28852867785379954
0.076,-0.28992489129241505
0.077,-0.16581382537118605
0.078,-0.14792794549563143
0.079,-0.08589965571369126
0.08,0.0013788997951060446
0.081,0.1680894369359896
0.082,0.15581928573294873
0.083,0.2642985128113717
0.084,0.1757606489267063
0.085,0.19550654642569593
0.08600000000000001,0.35227542371163145
0.08700000000000001,0.23974951493820257
0.088,0.30343608025475144
0.089,0.250697889168914
