Tiempo (s),Aceleracion (m/s^2)
0.0,0.08452628519001781
0.0005,0.2131000862828258
0.001,0.446561443741612
0.0015,0.6217740793421276
0.002,0.6491142889893514
0.0025,0.6984103530099071
0.003,0.6326929619813968
0.0035,0.416066344740326
0.004,0.3825122776420228
0.0045000000000000005,0.17177182336910912
0.005,-0.06968074114535627
0.0055,-0.19181529129253386
0.006,-0.24718503912152717
0.006500000000000001,-0.3068803950611285
0.007,-0.25692210075979666
0.0075,-0.20548793929706438
0.008,0.05339260584465594
0.0085,0.21381977722361192
0.009000000000000001,0.40026094581218324
0.0095,0.4597545501167564
0.01,0.7163146079977134
0.0105,0.6718402635759578
0.011,0.6013777531272269
0.0115,0.6087468649303299
0.012,0.3348179725424924
0.0125,0.0587169415417981
0.013000000000000001,-0.10433549117412871
0.0135,-0.39568244763814964
0.014,-0.3824973503875137
0.0145,-0.5463446924890977
0.015,-0.5787855769090019
0.0155,-0.42841844917665584
0.016,-0.43803381711789613
0.0165,-0.15298826481286615
0.017,-0.08249315770732857
0.0175,0.18514935085671796
0.018000000000000002,0.32528262722429835
0.0185,0.5722578953261973
0.019,0.6314639884673227
0.0195,0.49424535462786384
0.02,0.44732695094404257
0.0205,0.23105800557966982
0.021,0.06452308937258501
0.021500000000000002,-0.21800650338565344
0.022,-0.46714823925428145
0.0225,-0.6327013489622397
0.023,-0.6238786082980466
0.0235,-0.5593469411920342
0.024,-0.6134988440636304
0.0245,-0.5433261577588022
0.025,-0.26363146441377305
0.025500000000000002,-0.165042001728351
0.026000000000000002,0.008283988212310918
0.0265,0.16763580424843402
0.027,0.24989892886907508
0.0275,0.27751256379182293
0.028,0.18716169721338335
0.0285,0.18391101658342832
0.029,0.002006729752537314
0.029500000000000002,-0.11611522912966869
0.03,-0.3809338843856682
0.0305,-0.6214426394298291
0.031,-0.6469950411035666
0.0315,-0.6065739946113848
0.032,-0.6839022502045302
0.0325,-0.6060740910426294
0.033,-0.4518994057600386
0.0335,-0.22805956372040068
0.034,0.048174866910775924
0.0345,0.23682911950217184
0.035,0.5698509958893588
0.035500000000000004,0.6234890816664825
0.036000000000000004,0.713689247159103
0.0365,0.7727564550743459
0.037,0.6947647117907307
0.0375,0.46771657023142493
0.038,0.31523409860475243
0.0385,0.14346126877060106
0.039,-0.0796516422399023
0.0395,-0.2955879035240869
0.04,-0.2517028044346426
